source_file,company_name,sector,primary_subsector,additional_subsectors,level_3_category,confidence_explanation
egosa_enterprises_25601072_0_Financials-_EGOSA_ENTERPRISES.xlsm,EGOSA ENTERPRISES,Retail / Trade (FMCG),General merchandise,,Wholesale and retail of household goods and furniture,"The presence of inventory/products such as plastic chairs, basins, and mattresses, along with cost of sales categories indicating wholesale and retail activities, strongly supports the classification as a retail/trade business focused on general merchandise."
eje_printery_services_2560851_0_Financials_-Eje_Printery.xlsm,EJE PRINTERY SERVICES,Retail / Trade (stationary),School/office supplies,,Printing supplies and stationery retailer,"The presence of inventory items such as printing ink, printing papers, and various stationery products indicates a strong retail/trade classification. The Cost of Sales categories confirm that the business sells physical products, aligning it with the stationary sector."
ekeya_peter_2560930_0_Client_Analysis_Model_v24.3_-_EKEYA_PETER_1.xlsm,EKEYA PETER,Retail / Trade (FMCG),General merchandise,,General merchandise retail,"The business is classified under Retail/Trade due to the presence of shop sales as a revenue stream and the absence of specified products/inventory. The Cost of Sales categories indicate a retail business model focused on selling physical products, aligning with the General merchandise sub-sector."
elgon_emirates_secondary_school_limited_2560992_0_Elgon_Emirates_Secondary_School_Financials_Updated.xlsm,ELGON EMIRATES SECONDARY SCHOOL LIMITED,Education,Early childhood education,,Secondary School,"The business is classified under the Education sector as it primarily provides educational services. The presence of school fees and examination fees as revenue streams indicates a service-oriented business rather than a retail/trade business. The Cost of Sales categories do not suggest a retail focus, reinforcing the classification as a service provider in the education sector."
elgon_quality_supplies_2560531_0_Elgon_quality_supplies.xlsm,Elgon Quality Supplies,Retail / Trade (electronics),Mobile phones,Retail / Trade (other),Electronics and mobile phone retail with solar energy products,"The presence of inventory items such as solar panels, batteries, and mobile phones indicates a strong retail/trade classification. The Cost of Sales categories, which include 'Cost of items', further support the classification as a retail business focused on selling physical products."
elite_high_school_mayuge_bugadde_2560770_0_Elite_high_sc_financials_1.xlsm,ELITE HIGH SCHOOL MAYUGE BUGADDE,Education,Early childhood education,,Secondary School,"The business operates in the education sector with a focus on tuition as its primary revenue stream. The operating costs indicate a service-oriented model rather than retail, aligning with the classification of a secondary school."
elivia_pharmaceuticals_ltd_25601092_0_Elivia_financials.xlsm,ELIVIA PHARMACEUTICLAS LTD,Healthcare (pharmacy),Retail pharmacy,,Pharmaceutical retail specializing in prescription and over-the-counter medications,The presence of inventory/products and the Cost of Sales categories indicating purchases (wholesale and retail) strongly suggest that this business operates as a retail/trade entity focused on selling physical pharmaceutical products.
engole_emmanuel_25601032_0_ENGOLE_EMMANUEL_Financials_latest.xlsm,ENGOLE EMMANUEL,Healthcare,Healthcare (pharmacy),,Retail pharmacy,"The presence of inventory/products and the classification under 'Cost of goods sold' categories strongly indicate that this business operates as a retail pharmacy, selling physical healthcare products."
eternity_gas_distributors_25601112_0_Client_Analysis_Model_ETERNITY_IVAN.xlsm,ETERNITY GAS DISTRIBUTOR,Retail / Trade (FMCG),General merchandise,,Gas distribution and equipment retail,"The business sells physical products related to gas distribution, including complete gas sets and refilling services, which aligns with the Cost of Goods Sold categories indicating a retail/trade classification."
eyer_florence_opio_25601111_0_Financials_Eyer.xlsm,EYER FLORENCE OPIO,Retail / Trade (produce),Cereals/Grains,,Retailer of cereals and grains,"The presence of inventory/products such as Soya, Maize, and Rice indicates a focus on physical products, aligning with the retail/trade classification. The Cost of Sales categories confirm that the business operates as a retail entity selling goods."
febian_mwanika_25601003_0_Fabian_Financials_Final.xlsm,FABIAN MWANIKA,Retail / Trade (FMCG),General merchandise,,Retail of personal care and petroleum products,"The business sells physical products such as petroleum and various personal care items, which aligns with the 'Cost of goods sold' category indicating a retail/trade classification. The primary focus on general merchandise further supports this classification."
florence_nightingale_school_of_nursing_and_midwifery_2560730_0_Financials_Florence_new_version.xlsm,FLORENCE NIGHTINGALE SCHOOL OF NURSING & MIDFERY,Education,Higher education,,Nursing and Midwifery School,The business is classified under the Education sector as it primarily focuses on providing educational services in nursing and midwifery. The absence of physical products and the presence of service-related operating costs indicate that it operates as a service business rather than a retail one.
forest_view_primary_school___bukwo_2560805_0_20240722_Forest_view_academy_primary_school-Bukwo_FINAL.xlsm,Forest view academy primary school-Bukwo,Education,Early childhood education,,Primary School,The business is classified under the Education sector and Early childhood education sub-sector due to its focus on providing educational services. The presence of revenue streams from school fees and operating costs related to educational services indicates it operates as a service business rather than a retail/trade business.
fountain_public_primary_school_2560857_0_Fountain_Public_primary_schools-Financials.xlsm,Fountain Public Primary School Limited,Education,Early childhood education,,Public Primary School,"The business operates in the education sector with no inventory or physical products indicated, and the cost structure primarily consists of service-related expenses, which aligns with a service business classification."
fountainhead_institute_of_management_and_technology_lira_2560950_0_FOUNTAINHEAD_-FINANCIALS.xlsm,Fountainhead Institute of sceince and Management,Education,Early childhood education,,Private educational institution,"The business is classified under the education sector as both primary and secondary industries are education-related. The presence of school revenue and operating costs associated with educational services indicates a service-oriented business rather than retail. Therefore, it is classified as a private educational institution."
fundamental_parents_primary_school___st_elizabeth_p_s_2560949_0_Fundamental_Financials.xlsm,FUNDAMENTAL PARENTS PRIMARY  SCHOOL,Education,Early childhood education,,Primary School,The business is classified under the Education sector and specifically as an Early childhood education sub-sector due to its focus on school fees collection and educational services. The presence of operating costs related to educational services rather than retail goods indicates a service-oriented business rather than a retail/trade classification.
geoffrey_kutosi_2560820_0_Kutosi_Geofrey-Financials_FINAL_2.xlsm,KUTOSI GEOFREY,Retail / Trade (produce),Cereals/Grains,,"Retailer of coffee, maize, and beans","The business primarily deals with physical products such as coffee, maize, and beans, which are categorized under 'Cost of goods sold'. This strongly indicates a retail/trade classification, specifically within the produce sector."
gilly_traders_25601086_0_Financials_Gilbert.xlsm,GILLY TRADERS,Retail / Trade (electronics),Mobile phones,,Retailer of mobile phones and accessories,"The presence of multiple mobile phone models and accessories in the inventory, along with the Cost of Sales categories indicating retail operations, strongly supports the classification as a retailer in the electronics sector."
global_pillar_nursery___primary_school___iganga_2560728_0_Financials_-_Global.xlsm,GLOBAL PILLAR NURSERY & PRIMARY SCHOOL,Education,Early childhood education,,Private Nursery and Primary School,"The business operates in the education sector, specifically focusing on early childhood and primary education. The absence of inventory and the nature of operating costs, which are primarily service-related, indicate that this is a service business rather than a retail/trade business."
gloria_atoo_25601022_0_Atoo_Financials.xlsm,Atoo Gloria,Retail / Trade (FMCG),General merchandise,,Mixed retail (food & household products),"The presence of physical products such as soap, sugar, cooking oil, and other groceries indicates a retail/trade business. The Cost of Sales categories confirm that these items are sold as goods, reinforcing the classification as a retail business focused on fast-moving consumer goods."
god_is_good_agro__produce_25601038_0_Financials_Martin.xlsm,God Is Good Agro Produce,Retail / Trade (produce),Cereals/Grains,Retail / Trade (hardware),Mixed retail (agricultural produce & hardware),"The presence of inventory/products categorized under 'Cost of goods sold' such as cotton, soya beans, and other grains strongly indicates a retail/trade classification. Additionally, the business also engages in hardware sales, which supports the classification into an additional sub-sector."
god_s_chance_agro_inputs_solutions_2560933_0_GODSCHANCEAGROINPUTS_newly_adjusted.xlsm,GOD'S CHANCE AGRO INPUTS SOLUTIONS,Retail / Trade (agri inputs),Seeds,Retail / Trade (textiles),Mixed retail (agricultural inputs & textiles),"The business primarily sells agro inputs such as fertilizers and seeds, which aligns with the Retail / Trade (agri inputs) sector and specifically the Seeds sub-sector. Additionally, the presence of textile products indicates a secondary focus on textiles, justifying the inclusion of the Retail / Trade (textiles) sub-sector. The Cost of Sales categories confirm a retail/trade classification due to the sale of physical products."
god_s_love_produce_store_2560911_0_MONICAS_FINANCIALS_FC.xlsm,ETENU MONICA,Retail / Trade (produce),Cereals/Grains,,Retailer of cereals and grains,"The business primarily deals with physical products such as SIM-SIM, MILLET, MAIZE, and SORGHUM, which fall under the category of cereals/grains. The presence of 'Cost of goods sold' categories indicates a retail/trade business model focused on selling these products."
gofa_investments_limited_25601016_0_Lydia_Financials_.xlsm,GOFA INVESTMENTS LTD,Retail / Trade (FMCG),General merchandise,,Retailer of beverages and soft drinks,"The business primarily sells physical products such as soda, water, and alcoholic beverages, which aligns with the 'Cost of goods sold' category indicating a retail/trade business. The classification as FMCG is appropriate due to the nature of the products being fast-moving consumer goods."
golden_bell_nur___primary_school_2560817_0_Financials-Golden_Bell.xlsm,GOLDEN BELL NURSERY & PRIMARY SCHOOL,Education,Early childhood education,,Private nursery and primary school,"The business operates in the education sector, specifically focusing on early childhood education. The absence of inventory/products and the presence of service-related operating costs indicate that it is a service business rather than a retail/trade business."
good_grace_hardware___lira_2560752_0_Good_grace_Financials.xlsm,LIRA GOOD GRACE HARDWARE,Retail / Trade (hardware),Construction materials,,Hardware retail specializing in plumbing and ceramics,"The business sells physical products such as PVC pipes and ceramics, which fall under the 'Cost of goods sold' category, indicating a retail/trade classification. The primary focus on hardware items aligns with the construction materials sub-sector."
grace_primary_school_limited_2560852_0_Grace_Primary_School_Reviewed_2025.xlsm,GRACE PRIMARY SCHOOL LIMITED,Education,Early childhood education,,Primary School,The business is classified under the Education sector and Early childhood education sub-sector due to its focus on school fees and educational services. The presence of operating costs related to services rather than physical products indicates it operates as a service business rather than retail.
granton_investments_limited_2560931_0_Client_Analysis_Model_v24.3_Granton_1.xlsm,GRANTON INVESTMENT,Retail / Trade (hardware),Construction materials,,Retail of construction materials and hardware supplies,"The business primarily deals with physical products related to construction materials, as indicated by the inventory list which includes items like cement, door frames, and various metal products. The presence of 'Cost of Sales' categories further supports the classification as a retail/trade business."
great_hope_primary_school___sure_public_african_college_busoga_2560978_0_Great_Hope_Primary_School__Secondarty-_Financials_final_new.xlsm,GREAT HOPE PRIMARY SCHOOL & SURE PUBLIC AFRICAN COLLEGE BUSOGA,Education,Early childhood education,,Primary School,"The business is classified under the Education sector and Early childhood education sub-sector due to its focus on school fees and educational services. The presence of operating costs related to salaries, utilities, and administrative expenses, along with the absence of physical product sales, indicates a service-oriented business rather than retail."
great_stevens_electronics___gulu_2560952_0_STEVENS_FINANCIALS_1.xlsm,Great Stevens Electronics- Gulu,Retail / Trade (electronics),Mobile phones,,Retail electronics store specializing in mobile accessories,"The presence of inventory items such as USB cables, power banks, and earbuds indicates a focus on electronic products. The Cost of Sales categories confirm that the business operates as a retail/trade entity selling physical products."
guild_nursery_and_primary_school_2560868_0_Client_Analysis_Model_Guild_Junior_School.xlsm,GUILD NURSERY AND PRIMARY SCHOOL,Education,Early childhood education,,Private primary school,"The business operates primarily in the education sector, specifically focusing on early childhood education. The revenue streams indicate a service-based model with school fees and related income, aligning with service costs rather than retail. Therefore, it is classified as a private primary school."
gumson_investment__lira_2560545_0_Client_Analysis_Model_v24.3_36.xlsm,Gumson Investment,Retail / Trade (produce),Cereals/Grains,,Retailer of grains and cereals,"The business sells physical products such as maize, millet, and rice, which fall under the Cost of goods sold category, indicating a retail/trade classification. The primary focus on grains and cereals aligns with the selected subsector."
half_price_enterprises_25601088_0_Financials_HP.xlsm,HALF PRICE ENTERPRISES,Retail / Trade (beauty),Salons,,Beauty and personal care retail,"The presence of inventory/products related to beauty and personal care, along with the Cost of Sales categories indicating physical products, strongly supports the classification as a retail/trade business in the beauty sector."
halima_wamani_motorspares_and_general_trade_2560934_0_Financials-Spareparts.xlsm,HALIMA WAMANI MOTORSPARES AND GENERAL GARAGE,Retail / Trade (automobile),Service & repair,,Automobile parts retail and general garage services,"The business sells physical products related to automobile parts and operates a garage, which aligns with the retail/trade classification. The presence of inventory/products and the cost of sales categories indicate a retail/trade business focused on automobile parts."
halima_wamani_motorspares_and_general_trade_2560934_1_Adjusted_Financials.xlsm,HALIMA WAMANI MOTORSPARES AND GENERAL GARAGE,Retail / Trade (automobile),Service & repair,,Automobile parts retail and general garage services,"The business sells physical products related to automobile parts and operates a garage, which aligns with the retail/trade classification. The presence of inventory/products and the cost of sales categories indicate a retail/trade business focused on automobile parts and services."
happy_general_stores_lira_2560681_0_FINANCIALS_2025_Happy.xlsm,Happy General Stores-Lira,Retail / Trade (produce),Cereals/Grains,,Retail store specializing in grains and legumes,"The business sells physical products such as maize, soya beans, and sunflower, which fall under the Cost of goods sold category, indicating a retail/trade classification. The primary focus on cereals and grains aligns with the selected subsector."
harian_general_trade_2560709_0_finacials_Harian.xlsm,HARIAN GENERAL TRADE,Retail / Trade (FMCG),General merchandise,Retail / Trade (textiles),Mixed retail (furniture & clothing),"The presence of various physical products in the inventory, along with the Cost of Sales categories indicating retail operations, strongly supports the classification as a retail/trade business focused on general merchandise and textiles."
harshton_schools_limited_2560691_0_Financials.xlsm,Hasrhton Schools Limited,Education,Early childhood education,,Private school,"The business operates in the education sector with no physical products or inventory indicated, and the cost structure aligns with service costs rather than goods sold, confirming its classification as a service-oriented educational institution."
heywood_group_ltd_2560823_0_Irumba_financials.xlsm,HEYWOOD GROUP LTD,Agri primary production,Livestock farming,,Poultry and coffee production,"The business primarily engages in agriculture with a focus on livestock farming, specifically producing eggs and kroilers, which aligns with the livestock farming sub-sector. The presence of cost categories related to goods sold indicates a production-oriented business rather than a service-based one."
hi_tech_plumbing_services_2560887_0_Financials_Hi_tech.xlsm,HI TECH PLUMBING SERVICES,Retail / Trade (hardware),Construction materials,Retail / Trade (electronics),Plumbing and electrical supplies retailer,"The presence of inventory/products related to plumbing and electronics, along with the Cost of Sales categories indicating 'COS Plumbing' and 'COS Electronics', strongly supports the classification as a retail/trade business focused on hardware and electronics."
highway_education_centre_primary_school_2560828_0_Mukabya_Joet-Financials_3.xlsm,MUKABYA JOET,Education,Early childhood education,,Primary School,"The business operates in the education sector with a focus on fees collection from educational institutions, indicating a service-oriented model. The absence of physical products and the nature of operating costs suggest it is a service business rather than retail."
highway_health_services_lira_2560874_0_HIGHWAY_FINANCIALS.xlsm,HIGHWAY HEALTH SERVICES-LIRA,Healthcare,Healthcare (clinic),,General medical practice,"The business primarily operates as a clinic providing healthcare services, and the presence of operating costs rather than cost of goods sold indicates a service-oriented business rather than a retail/trade business."
hillside_nursery___primary_school___balawoli_kamuli_2560776_0_Finacials_-_Hillside.xlsm,HILLSIDE NURSERY & PRIMARY SCHOOL - BALAWOLI KAMULI,Education,Early childhood education,,Primary school,The business is classified under the Education sector and specifically in Early childhood education due to its focus on tuition and educational services. The presence of operating costs related to educational services rather than physical products indicates a service-oriented business rather than a retail/trade classification.
hillview_junior_nursery_and_primary_school_lira_2560967_0_Financials-Hill_view.xlsm,HILLVIEW MIXED DAY AND BOARDING PRIMARY SCHOOL,Education,Early childhood education,,Boarding School,"The business is classified under the Education sector and Early childhood education sub-sector due to its primary focus on providing educational services. The revenue streams indicate service-based income from school fees and related services, aligning with a service business classification rather than retail. The absence of physical products and the nature of operating costs further support this classification."
home_of_wines_and_spirits_store_2560943_0_Financials-Home_of_wines_and_spirits.xlsm,HOME OF WINES AND SPIRITS,Retail / Trade (FMCG),General merchandise,,Retailer of alcoholic beverages and related products,"The presence of inventory/products such as various beer brands and spirits indicates a retail/trade business focused on selling physical products. The Cost of Sales categories align with a retail model, confirming the classification."
iganga_medical_clinic_2560695_0_Iganga_medical_clinic_financials.xlsm,IGANGA MEDICAL CLINIC,Healthcare,General medical practice,,Medical clinic providing diagnostic and treatment services,"The business primarily operates as a medical clinic, providing healthcare services such as scans and general treatment. The presence of income from services rather than retail sales indicates a service-oriented business, aligning with the 'General medical practice' sub-sector."
iganga_victory_primary_school_iganga_2560706_0_FINANCIALS_updated.xlsm,MPIIYA AND NANGOBI VICTORY PRIMARY SCHOOL IGANGA,Education,Early childhood education,,Primary School,The business is classified under the Education sector and Early childhood education sub-sector due to its focus on school fees collections and operating costs related to educational services. The absence of inventory/products and the nature of operating costs suggest it operates as a service business rather than retail.
innocent___family_agroinputs_25601034_0_Financials_-_Innocent.xlsm,INNOCENT AGROINPUTS,Retail / Trade (agri inputs),Seeds,,Retail of agricultural inputs and seeds,"The presence of inventory/products categorized under 'Cost of goods sold' indicates a retail/trade business focused on selling physical agricultural products, specifically seeds and agro-inputs."
insight_ventures_limited_2560983_0_INSIGHT_VENTURES_Financials_Updated.xlsm,INSIGHT VENTURES LIMITED,Retail / Trade,FMCG,Healthcare (pharmacy),Mixed retail (food & healthcare supplies),"The presence of inventory/products categorized under 'Cost of goods sold' strongly indicates a retail/trade classification. The business sells physical products such as food items and healthcare supplies, which aligns with the FMCG sub-sector and also includes elements of healthcare retail."
instant_pork_joint_lira_2560802_0_INSTANT_FINANCIALS-REVIEWED.xlsm,INSTANT PORK JOINT,Retail / Trade (FMCG),General merchandise,,Mixed retail (food & beverages),"The business primarily sells pork and bar supplies, which are physical products categorized under 'Cost of goods sold'. This strongly indicates a retail/trade classification, specifically within the FMCG sector due to the nature of the products sold."
inueza_blessed_company_limited_25601064_0_inueza_financials_a.xlsm,INUEZA BLESSED COMPANY LIMITED,Retail / Trade (FMCG),General merchandise,,Retailer of poultry and fish products,"The business primarily sells physical products such as chicken, meat, and fish, which aligns with the retail/trade classification. The presence of inventory and the cost of sales categories indicate a focus on retailing goods, specifically in the fast-moving consumer goods sector."
iryapharm_company_limited_2560682_0_Iryapharm_ltd_financials_finals1.xlsm,IRYAPHARM COMPANY LIMITED,Healthcare (pharmacy),Retail pharmacy,,Wholesale and retail pharmacy specializing in pharmaceuticals,The presence of inventory/products and the Cost of Sales categories indicating wholesale and retail sales strongly suggest that this business operates as a retail/trade entity within the pharmacy sector.
isabirye_ayub___sons_general_entreprise_2560837_0_Client_Analysis_Model_v24.3_-_ISABIRYE_Final.xlsm,ISABIRYE AYUB & SONS ENTREPRISES,Retail / Trade (FMCG),General merchandise,,General merchandise retail,"The business operates in the trade/retail industry with shop sales as the revenue stream, indicating a focus on selling physical products. The absence of specified inventory does not negate the retail classification, as the presence of shop sales and operating costs related to retail activities strongly suggest a retail/trade business type."
isagid_green_creations_smc_ltd_2560749_0_Financials.xlsm,ISAGID GREEN CREATIONS SMC LTD,Retail / Trade (hardware),Construction materials,Retail / Trade (automobile),Mixed retail (construction materials & bicycle spare parts),"The presence of inventory/products related to concrete and bicycle spare parts, along with the Cost of Sales categories indicating 'COS from Concrete business' and 'COS at the bicycle shop', strongly supports the classification as a retail/trade business focused on both construction materials and bicycle components."
itoobe_robert_25601122_0_ITOOBE_ROBERT_Financials_Updated.xlsm,ITOOBE ROBERT,Retail / Trade (agri inputs),Seeds,,Retail of agricultural inputs and seeds,"The business primarily sells agro inputs, including various seeds and fertilizers, which aligns with the Retail / Trade (agri inputs) sector. The presence of inventory and cost of goods sold categories confirms its classification as a retail business."
izo_fashions_and_saloon_25601015_0_Financials-_IZO_FASHIONS_New.xlsm,IZO FASHIONS AND SALOON,Retail / Trade (beauty),Salons,Retail / Trade (textiles); Clothing,Combined retail and salon services,The presence of both retail products (clothing items) and service offerings (haircuts) indicates a combined business model. The Cost of Sales categories related to both the boutique and saloon confirm the classification as a retail/trade business with a focus on beauty services.
jamiru_enterprises_2560679_0_FINANCIALS_1.xlsm,Jamil Enterprises,Retail / Trade (produce),Cereals/Grains,,Bagaase retail distributor,"The business primarily deals with the sale of Bagaase, which is a physical product, indicating a retail/trade classification. The presence of 'Cost of goods sold' categories further supports this classification as it confirms the business sells physical products rather than services."
jb_electronics_2560958_0_OWERE_EMMA_FINANCIALS_Revised.xlsm,Test,Retail / Trade (electronics),Mobile phones,,Retail of mobile accessories and electronics,"The business sells physical products such as button phones, USB cables, and power banks, which aligns with the retail/trade classification. The presence of inventory and the cost of goods sold categories strongly indicate a retail business focused on electronics."
jeconiah_2560737_0_Jeconiah.xlsm,JECONIAH,Healthcare,Retail pharmacy,Retail / Trade (FMCG),Mixed retail (pharmacy & general merchandise),"The presence of inventory/products categorized under 'Cost of goods sold' indicates a strong retail/trade classification, particularly in pharmacy and general merchandise, which aligns with the business's revenue streams."
jeconiah_2560737_1_Jeconiah_adjusted_Financials.xlsm,JECONIAH,Healthcare,Retail pharmacy,General medical practice,Healthcare provider with retail pharmacy services,"The presence of inventory/products categorized under 'Cost of goods sold' indicates a strong retail/trade component, specifically in pharmacy sales. Additionally, the orthopedic services suggest a healthcare service aspect, justifying the inclusion of both retail pharmacy and general medical practice as relevant sub-sectors."
jimmy_and_son_motor_spares_parts_lira_2560896_0_Financials_ELIM.xlsm,ELIM JIMMY,Retail / Trade (automobile),Service & repair,,Automobile parts retail,"The presence of inventory items such as brake pads, engine oil, and tyres indicates a retail business focused on automobile parts. The Cost of Sales categories confirm this as they relate to physical products sold, aligning with the retail/trade classification."
jimmy_ocen_25601023_0_jimmy_financials.xlsm,Jimmy Ocen,Retail / Trade (produce),Cereals/Grains,,Retailer of mixed grains and legumes,"The business primarily deals with physical products such as beans, grains, and legumes, which fall under the Cost of goods sold category, indicating a retail/trade classification. The presence of inventory related to cereals and grains supports the selection of the produce sector."
johnson_millers_lira_25601005_0_Johnson_Financials.xlsm,Johnson Millers-Lira,Retail / Trade (other),Variety shops,,General merchandise with a focus on various consumer products,"The business is classified under Retail/Trade due to the presence of inventory/products categorized as 'Cost of goods sold', indicating it sells physical products. The lack of specific product categories suggests a variety shop, which aligns with the general merchandise classification."
jojo_electronics___sports_center_25601085_0_Financials_Jojo.xlsm,JOJO ELECTRONICS CENTER,Retail / Trade (electronics),Mobile phones,,Retail electronics specializing in mobile phones and accessories,"The presence of inventory items such as mobile phones, phone cases, and chargers indicates a strong retail/trade classification. The Cost of Sales categories confirm that the business sells physical products, aligning it with the electronics retail sector."
jokis_engineering_services_ltd_2560766_0_Jokis_Financials.xlsm,JOKIS ENGINEERING SERVICES LTD,Retail / Trade (automobile),Service & repair,,Automobile parts and fuel retail,"The presence of inventory/products related to automobile parts and fuel, along with the Cost of Sales categories indicating 'COS Garage' and 'COS Fuel', strongly supports the classification as a retail/trade business focused on automobile services and products."
julius_dairy_mbarara_2560769_0_Client_Analysis_Model_v24-_Mugunga_Julius_1.xlsm,JULIUS MBARARA DIARY,Retail / Trade (FMCG),General merchandise,,Mixed retail (food & household products),"The presence of inventory/products such as milk, yogurt, and various grocery items, along with the Cost of Sales categories indicating physical products sold, strongly supports the classification as a retail/trade business in the FMCG sector."
julius_dairy_mbarara_2560769_1_Client_Analysis_Model_v24_Mugunga_Julius_-_Adjusted_Financials.xlsm,JULIUS MBARARA DIARY,Retail / Trade (FMCG),General merchandise,,Mixed retail (food & household products),"The business primarily sells physical products such as milk and various grocery items, which aligns with the Cost of Sales categories indicating a retail/trade business. The presence of inventory and cost of goods sold further supports the classification into the FMCG sector."
julius_emwogu_2560773_0_Client_Analysis_Model_v24-_EMWOGU_FINAL.xlsm,JULIUS EMWOGU,Retail / Trade (agri inputs),Seeds,Retail / Trade (FMCG),Mixed retail (agro inputs & general merchandise),"The presence of inventory/products categorized under 'Cost of goods sold' indicates a retail/trade business. The business sells agro inputs and general merchandise, which aligns with the selected sector and sub-sector."
julius_paul_alemu_2560787_0_Alemu_Julius-New.xlsm,ALEMU PAUL JULIUS,Retail / Trade (agri inputs),Seeds,,Retail of organic agricultural products and supplements,"The business primarily sells physical products such as organic fertiliser and health supplements, which aligns with the retail/trade classification. The presence of inventory and cost of goods sold categories further supports this classification."
k_e_stores_2560888_0_Financials_K.E_stores.xlsm,KYALIMPA EMMANUEL,Retail / Trade (produce),Cereals/Grains,,Retailer of grains and cereals,"The business primarily sells beans and rice, which are categorized under 'Cost of goods sold', indicating a retail/trade business focused on physical products. This aligns with the 'Cereals/Grains' sub-sector."
k_samuel_agro_supply_25601049_0_SAM_KAGOMA_Financials_Revised.xlsm,KAGOMA SAMUEL,Retail / Trade (agri inputs),Seeds,,Retail of agricultural inputs and seeds,"The business primarily sells agro inputs, including various seeds and herbicides, which aligns with the Retail / Trade (agri inputs) sector. The presence of inventory and cost of goods sold categories confirms its classification as a retail business."
ka_rwot_oye_cobere_2560753_0_Ambrose_Financials.xlsm,KA RWOT OYE COBERE,Retail / Trade (agri inputs),Seeds,,Agricultural inputs retail,The presence of inventory items such as DK seeds and other agricultural products indicates a strong focus on retailing agricultural inputs. The Cost of Sales categories confirm that the business operates as a retail/trade entity selling physical products.
kaboole_micheal_2560925_0_Client_Analysis_Model_v24.3_Kabole_Michael_final.xlsm,KABOLE MICHAEL,Retail / Trade (produce),Cereals/Grains,,Retailer of grains and legumes,"The business primarily sells physical products such as yellow beans, red kidney beans, soya beans, millet, and popcorn maize, which fall under the category of cereals/grains. The presence of inventory and cost of goods sold categories strongly indicates a retail/trade classification."
kamurali_moris_and_sons_enterprise_ltd_25601113_0_Moris_financials_1_1.xlsm,KAMULARI MORIS  AND SONS ENTERPRISE LTD,Retail / Trade (electronics),Mobile phones,,Retail electronics with a focus on home appliances,"The business sells physical products such as percolators, freezers, fridges, blenders, and flat screens, which aligns with the retail/trade classification. The presence of these items in the Cost of Sales categories indicates a retail business focused on electronics and home appliances."
kanakulya_joseph_25601079_0_Client_Analysis_Model_v24.3_-_KANAKULYA.xlsm,KANAKULYA JOSEPH,Retail / Trade (FMCG),General merchandise,,Mixed retail (food & household supplies),"The business primarily sells physical products such as sugar, salt, and soap, which fall under the Cost of goods sold category, indicating a retail/trade classification. The diverse inventory supports the classification as general merchandise."
kasamba_coaches_services_2560956_0_Financials_Kasamba.xlsm,KASAMBA COUCHES,Transport / logistics (non agri),Delivery services,Real Estate,Transport and Guest House Services,The business primarily operates in the transport/logistics sector with revenue streams from transport and guest house services. The absence of inventory/products and the presence of service-related operating costs indicate a service-oriented business rather than retail/trade.
kayemba_fuel_station_2560720_0_Client_Analysis_Model_v24-KAYEMBA_FUELS_3.xlsm,Kayemba Fuels,Retail / Trade (other),Variety shops,,Fuel retail,"The business sells physical products (petrol and diesel) and has cost of sales categorized under 'Cost of Items', indicating a retail/trade classification. The absence of service costs further supports this classification."
ken_home_of_spirits_25601075_0_Financials_for_Ken_home_of_spirits.xlsm,KEN HOME OF SPIRITS,Retail / Trade (FMCG),General merchandise,,Retailer of alcoholic beverages and composite cereal flour,The presence of inventory/products such as various alcoholic beverages and composite cereal flour indicates a retail/trade business focused on selling physical products. The Cost of Sales categories confirm this classification as they align with a retail business model.
khasaka_caroline_25601027_0_KHASAKA_CAROLINE_Financials_Updated.xlsm,KHASAKA CAROLINE,Retail / Trade (agri inputs),Seeds,,Retail of agricultural inputs and seeds,"The business primarily sells agro inputs, including various seeds and fertilizers, which aligns with the Retail / Trade (agri inputs) sector. The presence of inventory and cost of goods sold categories confirms its classification as a retail business."
kiboma_francis_2560713_0_Client_Analysis_Model_v24.2.xlsm,Kiboma Francis,Retail / Trade (electronics),Mobile phones,,Retail electronics with a focus on mobile phones and accessories,"The business primarily sells physical products such as mobile phones and electronic accessories, which aligns with the 'Cost of goods sold' category indicating a retail/trade business. The presence of inventory items like Itel 2160 and various electronic components further supports this classification."
kiboma_francis_2560713_1_Client_Analysis_Model_v24.2.xlsm,Kiboma Francis,Retail / Trade (electronics),Mobile phones,,Retail electronics with a focus on mobile devices and accessories,"The business primarily sells physical products such as mobile phones and electronic accessories, which aligns with the 'Cost of goods sold' category indicating a retail/trade business. The presence of inventory items like Itel 2160 and various electronic components further supports this classification."
kifansalira_stephen_25601101_0_Financials-_KIFANSALIRA_STEPHEN_Updated.xlsm,KIFANSALIRA STEPHEN,Retail / Trade (FMCG),General merchandise,,Retailer of personal care and petroleum products,"The presence of inventory/products such as petroleum, lotions, and creams indicates a retail/trade business focused on fast-moving consumer goods (FMCG). The Cost of Sales categories confirm that the business sells physical products, aligning with the FMCG sector."
kiita_moses_kaitale_2560935_0_Client_Analysis_Model_v24.3_Kaitale_moses.xlsm,KAITALE MOSES KIITA,Retail / Trade (produce),Cereals/Grains,,Retailer of grains and coffee products,"The presence of inventory/products such as coffee, soya beans, and various types of beans indicates a retail/trade business focused on physical products. The Cost of Sales categories align with a retail classification, confirming the business operates in the trade of agricultural produce."
